YEAR,CRUISE,NET MESH,LAKE,STATION,SAMPLE DATE,CAL_Num/m3,CAL_ugDW/m3,CALIM_Num/m3,CALIM_ugDW/m3,CYC_Num/m3,CYC_ugDW/m3,CYCIM_Num/m3,CYCIM_ugDW/m3,DAP_Num/m3,DAP_ugDW/m3,NDAP_Num/m3,NDAP_ugDW/m3,PRED_Num/m3,PRED_ugDW/m3
1997,Summer,153,ER,ER 58,8/2/97,661.5054237,3791.536798,233.4725025,1357.249267,9494.548434,36310.90376,16810.02018,40375.2557,52764.78556,239162.2628,6965.262991,11532.8945,389.1208375,4586.189475
1997,Summer,153,ER,ER 59,8/2/97,176.0534521,1214.367266,1056.320712,1916.139345,1106.621699,2667.318592,19617.38466,15756.62767,31488.41743,104133.487,1534.180082,1829.28788,352.1069042,8402.023551
1997,Summer,153,ER,ER 60,8/2/97,8.99276354,34.38785671,215.826325,238.0168292,5.995175694,7.3341726,446.6405892,205.5342541,407.6719472,976.2084052,1594.716734,1104.464414,1846.514114,9681.056232
1997,Summer,153,ER,ER 61,8/2/97,0,0,1055.490272,1202.177154,4.864010468,8.133634143,170.2403664,58.20195833,7.296015703,33.59296583,841.473811,666.5427617,277.2485967,637.5337374
1997,Summer,153,ER,ER 91,8/2/97,2637.091053,19686.36148,12035.95404,47823.07267,6897.007368,31227.03164,22584.31825,46807.36355,27858.50035,107560.2187,6220.830175,10699.94244,1014.265789,10280.91302
1997,Summer,153,ER,ER 30,8/3/97,876.9006589,6568.218663,1023.050769,3874.139374,89.313956,177.1814843,864.7214831,885.4205934,4.059725273,13.62455396,633.3171426,639.1922556,11.67171016,1931.575772
1997,Summer,153,ER,ER 31,8/3/97,380.7397733,3079.068569,801.1399396,3408.231037,43.62643235,54.68955252,376.773734,208.8667766,3.966039305,10.49173809,1526.925132,1094.580701,17.84717687,2686.851815
1997,Summer,153,ER,ER 36,8/3/97,1038.535721,9509.488788,1281.597273,2919.689754,154.6755329,570.8399384,2570.560047,2910.355679,33.14475705,50.33021467,673.9433933,749.2532402,25.77925548,2439.180559
1997,Summer,153,ER,ER 37,8/3/97,1031.170219,5587.819047,2209.65047,4712.603584,2622.118558,11422.868,19651.15818,22951.44174,766.0121629,1476.866315,13434.67486,13026.17788,24.62839586,3468.096541
1997,Summer,153,ER,ER 38,8/3/97,1374.893626,9498.296537,2315.610317,7995.249507,1013.079514,3254.361171,26340.06736,15769.52162,1230.167981,3523.371684,27353.14687,30094.94836,48.90143858,1875.163152
1997,Summer,153,ER,ER 42,8/3/97,761.4795466,3436.631618,2030.612124,10911.27528,19036.98866,68747.96239,98484.68802,89133.06132,9137.754559,33144.08586,75386.47511,102628.976,0,0
1997,Summer,153,ER,ER 43,8/3/97,7424.425579,55786.75553,20052.29473,46749.09497,3299.744702,12307.04872,11041.45343,10898.78066,1269.132578,2924.657382,10882.81185,11469.25889,52.55002079,3198.729844
1997,Summer,153,ER,ER 73,8/3/97,1885.568401,14823.10797,1620.410345,4269.822993,3181.896677,13014.93598,12374.04263,17343.40002,795.4741692,1344.365122,11711.14749,11997.38815,15.88186275,2135.96352
1997,Summer,153,ER,ER 78,8/3/97,1979.846821,15896.74702,1553.629797,6813.446595,735.5680898,2356.685302,3285.995765,4299.817558,6.874468129,34.24884905,1326.772349,1125.663028,16.97134319,2633.295194
1997,Summer,153,ER,ER 92,8/3/97,475.9247166,3193.982394,2379.623583,3763.801902,17371.25216,121498.5643,33869.97566,57373.01308,18402.42238,80684.42103,17450.57294,25740.02713,158.6415722,3551.272141
1997,Summer,153,ER,ER 32,8/4/97,611.8276634,6411.416623,522.4595778,3434.432989,288.7276614,1300.771325,3794.706407,4192.53671,20.62340439,42.95003321,694.321281,710.2214962,14.39341764,2373.897579
1998,Spring,153,ER,ER 58,4/7/98,438.487723,3723.427704,120.0986188,265.183578,62.86012813,460.0741238,61.32695427,31.44813513,48.03944751,78.48449249,5.110579523,9.032791645,0,0
1998,Spring,153,ER,ER 59,4/7/98,4902.067878,46051.82668,1782.570137,3545.08465,367.9617256,3439.428317,449.730998,331.1815542,89.9461996,97.09969894,49.06156342,76.85165569,0,0
1998,Spring,153,ER,ER 60,4/7/98,922.5251241,9527.398004,124.9602214,339.4256272,72.12469152,439.5355699,31.86904974,47.94734626,4.193296019,42.37994585,1.677318407,6.553212038,0,0
1998,Spring,153,ER,ER 61,4/7/98,178.8021422,1289.654214,127.1966459,203.3757917,33.43454692,206.9861909,82.13269135,51.79514374,0.726837977,2.685530613,3.634189883,6.826049941,0,0
1998,Spring,153,ER,ER 91,4/7/98,2711.476887,21975.01638,580.7865283,931.0061736,215.8239863,1420.580381,214.4953577,150.3450124,127.4311098,156.2842521,16.54924102,12.74100486,0,0
